geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
421010002001019,1239,Center City East,,0,0,4260000
421010002001020,1239,Center City East,,0,0,4260000
421010002001021,1239,Center City East,,0,0,4260000
421010002001022,1239,Center City East,,26,13,4260000
421010002001023,1239,Center City East,,54,26,4260000
421010002001024,1239,Center City East,,42,25,4260000
421010002001025,1239,Center City East,,5,3,4260000
421010002001026,1239,Center City East,,0,0,4260000
421010002001045,1239,Center City East,,0,0,4260000
421010002001046,1239,Center City East,,0,0,4260000
421010002001047,1239,Center City East,,10,2,4260000
421010002001048,1239,Center City East,,21,9,4260000
421010002001049,1239,Center City East,,356,27,4260000
421010002001050,1239,Center City East,,0,0,4260000
421010002001051,1239,Center City East,,0,0,4260000
421010002001052,1239,Center City East,,0,0,4260000
421010002001053,1239,Center City East,,0,0,4260000
421010002001060,1239,Center City East,,0,0,4260000
421010002001061,1239,Center City East,,5,5,4260000
421010003001000,1239,Center City East,,0,0,4260000
421010003001001,1239,Center City East,,0,0,4260000
421010003001035,1239,Center City East,,0,0,4260000
421010003001036,1239,Center City East,,0,0,4260000
421010003001037,1239,Center City East,,0,0,4260000
421010003001038,1239,Center City East,,0,0,4260000
421010003001039,1239,Center City East,,0,0,4260000
421010003001040,1239,Center City East,,0,0,4260000
421010003001041,1239,Center City East,,0,0,4260000
421010003001042,1239,Center City East,,0,0,4260000
421010004022000,1239,Center City East,,0,0,4260000
421010004022001,1239,Center City East,,0,0,4260000
421010005001002,1239,Center City East,,67,22,4260000
421010005001003,1239,Center City East,,42,17,4260000
421010005001004,1239,Center City East,,188,116,4260000
421010005001005,1239,Center City East,,0,0,4260000
421010005001006,1239,Center City East,,90,75,4260000
421010005001007,1239,Center City East,,112,0,4260000
421010005001008,1239,Center City East,,0,0,4260000
421010005001009,1239,Center City East,,0,0,4260000
421010005001010,1239,Center City East,,47,0,4260000
421010005001011,1239,Center City East,,0,0,4260000
421010005001012,1239,Center City East,,1,0,4260000
421010005001013,1239,Center City East,,0,0,4260000
421010005001015,1239,Center City East,,0,0,4260000
421010005001019,1239,Center City East,,2,0,4260000
421010005001020,1239,Center City East,,0,0,4260000
421010005001021,1239,Center City East,,6,1,4260000
421010005001022,1239,Center City East,,0,0,4260000
421010125001036,1239,Center City East,,0,0,4260000
421010125001037,1239,Center City East,,0,0,4260000
421010125001051,1239,Center City East,,0,0,4260000
421010125001052,1239,Center City East,,0,0,4260000
421010125001053,1239,Center City East,,0,0,4260000
421010376002049,1239,Center City East,,386,1,4260000
421010376002050,1239,Center City East,,0,0,4260000
421010376002051,1239,Center City East,,0,0,4260000
421010376002052,1239,Center City East,,0,0,4260000
421010376002053,1239,Center City East,,0,0,4260000
421010205001000,1204,Southwest Germantown,,0,0,4260000
421010205001001,1204,Southwest Germantown,,0,0,4260000
421010205001002,1204,Southwest Germantown,,0,0,4260000
421010205001003,1204,Southwest Germantown,,0,0,4260000
421010205001004,1204,Southwest Germantown,,0,0,4260000
421010205001007,1204,Southwest Germantown,,0,0,4260000
421010205001025,1204,Southwest Germantown,,0,0,4260000
421010242003000,1204,Southwest Germantown,,147,91,4260000
421010242003001,1204,Southwest Germantown,,77,38,4260000
421010242003002,1204,Southwest Germantown,,90,36,4260000
421010242003003,1204,Southwest Germantown,,104,33,4260000
421010242003004,1204,Southwest Germantown,,87,29,4260000
421010242003005,1204,Southwest Germantown,,105,32,4260000
421010242003006,1204,Southwest Germantown,,146,68,4260000
421010242003007,1204,Southwest Germantown,,96,26,4260000
421010242003008,1204,Southwest Germantown,,94,30,4260000
421010242003009,1204,Southwest Germantown,,122,56,4260000
421010242003010,1204,Southwest Germantown,,90,40,4260000
421010242003011,1204,Southwest Germantown,,27,7,4260000
421010242004000,1204,Southwest Germantown,,181,68,4260000
421010242004001,1204,Southwest Germantown,,112,37,4260000
421010242004002,1204,Southwest Germantown,,144,61,4260000
421010242004003,1204,Southwest Germantown,,122,57,4260000
421010242004004,1204,Southwest Germantown,,110,60,4260000
421010242004005,1204,Southwest Germantown,,151,61,4260000
421010242004006,1204,Southwest Germantown,,160,71,4260000
421010242004007,1204,Southwest Germantown,,89,55,4260000
421010242004008,1204,Southwest Germantown,,154,67,4260000
421010242004009,1204,Southwest Germantown,,144,53,4260000
421010243002000,1204,Southwest Germantown,,58,24,4260000
421010243002001,1204,Southwest Germantown,,91,47,4260000
421010243002002,1204,Southwest Germantown,,65,32,4260000
421010243002003,1204,Southwest Germantown,,478,247,4260000
421010243002004,1204,Southwest Germantown,,379,221,4260000
421010243002005,1204,Southwest Germantown,,154,59,4260000
421010243002006,1204,Southwest Germantown,,138,64,4260000
421010243002007,1204,Southwest Germantown,,134,65,4260000
421010243003000,1204,Southwest Germantown,,198,80,4260000
421010243003001,1204,Southwest Germantown,,146,68,4260000
421010243003002,1204,Southwest Germantown,,145,55,4260000
421010243003003,1204,Southwest Germantown,,161,68,4260000
421010243003004,1204,Southwest Germantown,,58,24,4260000
421010243003005,1204,Southwest Germantown,,161,62,4260000
421010243003006,1204,Southwest Germantown,,92,44,4260000
421010243004000,1204,Southwest Germantown,,99,38,4260000
421010243004001,1204,Southwest Germantown,,161,69,4260000
421010243004002,1204,Southwest Germantown,,1,1,4260000
421010243004003,1204,Southwest Germantown,,99,53,4260000
421010243004004,1204,Southwest Germantown,,34,15,4260000
421010243004005,1204,Southwest Germantown,,167,91,4260000
421010243004006,1204,Southwest Germantown,,134,63,4260000
421010244001000,1204,Southwest Germantown,,123,54,4260000
421010244001001,1204,Southwest Germantown,,133,46,4260000
421010244001002,1204,Southwest Germantown,,104,55,4260000
421010244001003,1204,Southwest Germantown,,184,100,4260000
421010244001004,1204,Southwest Germantown,,147,55,4260000
421010244001005,1204,Southwest Germantown,,63,28,4260000
421010244001006,1204,Southwest Germantown,,76,49,4260000
421010244002000,1204,Southwest Germantown,,98,30,4260000
421010244002001,1204,Southwest Germantown,,192,73,4260000
421010244002002,1204,Southwest Germantown,,201,92,4260000
421010244002003,1204,Southwest Germantown,,43,26,4260000
421010244002004,1204,Southwest Germantown,,226,91,4260000
421010244002005,1204,Southwest Germantown,,71,47,4260000
421010244002006,1204,Southwest Germantown,,40,21,4260000
421010244003000,1204,Southwest Germantown,,201,105,4260000
421010244003001,1204,Southwest Germantown,,110,56,4260000
421010244003002,1204,Southwest Germantown,,129,46,4260000
421010244003003,1204,Southwest Germantown,,218,70,4260000
421010244003004,1204,Southwest Germantown,,134,58,4260000
421010244003005,1204,Southwest Germantown,,170,76,4260000
421010244003006,1204,Southwest Germantown,,93,31,4260000
421010244003007,1204,Southwest Germantown,,74,33,4260000
421010244003008,1204,Southwest Germantown,,68,24,4260000
421010244003009,1204,Southwest Germantown,,21,13,4260000
421010244003010,1204,Southwest Germantown,,210,71,4260000
421010069003000,1270,Southwest Schuylkill,,183,68,4260000
421010069003001,1270,Southwest Schuylkill,,105,56,4260000
421010069003002,1270,Southwest Schuylkill,,0,0,4260000
421010069003003,1270,Southwest Schuylkill,,0,0,4260000
421010069003004,1270,Southwest Schuylkill,,0,0,4260000
421010070001000,1270,Southwest Schuylkill,,143,50,4260000
421010070001001,1270,Southwest Schuylkill,,114,51,4260000
421010070001002,1270,Southwest Schuylkill,,136,54,4260000
421010070001003,1270,Southwest Schuylkill,,159,59,4260000
421010070001004,1270,Southwest Schuylkill,,152,68,4260000
421010070001005,1270,Southwest Schuylkill,,117,47,4260000
421010070001006,1270,Southwest Schuylkill,,102,43,4260000
421010070002000,1270,Southwest Schuylkill,,174,68,4260000
421010070002001,1270,Southwest Schuylkill,,161,64,4260000
421010070002002,1270,Southwest Schuylkill,,59,29,4260000
421010070002003,1270,Southwest Schuylkill,,124,59,4260000
421010070002004,1270,Southwest Schuylkill,,95,47,4260000
421010070002005,1270,Southwest Schuylkill,,86,45,4260000
421010070003000,1270,Southwest Schuylkill,,46,21,4260000
421010070003001,1270,Southwest Schuylkill,,105,47,4260000
421010070003002,1270,Southwest Schuylkill,,14,8,4260000
421010070003003,1270,Southwest Schuylkill,,113,56,4260000
421010070003004,1270,Southwest Schuylkill,,131,64,4260000
421010070003005,1270,Southwest Schuylkill,,143,61,4260000
421010070003006,1270,Southwest Schuylkill,,164,56,4260000
421010070003007,1270,Southwest Schuylkill,,73,31,4260000
421010070003008,1270,Southwest Schuylkill,,112,50,4260000
421010070003009,1270,Southwest Schuylkill,,0,0,4260000
421010070004000,1270,Southwest Schuylkill,,140,63,4260000
421010070004001,1270,Southwest Schuylkill,,156,64,4260000
421010070004002,1270,Southwest Schuylkill,,148,65,4260000
421010070004003,1270,Southwest Schuylkill,,116,41,4260000
421010070004004,1270,Southwest Schuylkill,,133,47,4260000
421010070005000,1270,Southwest Schuylkill,,101,44,4260000
421010070005001,1270,Southwest Schuylkill,,132,51,4260000
421010070005002,1270,Southwest Schuylkill,,0,0,4260000
421010070005003,1270,Southwest Schuylkill,,81,32,4260000
421010070005004,1270,Southwest Schuylkill,,79,40,4260000
421010070005005,1270,Southwest Schuylkill,,92,35,4260000
421010070005006,1270,Southwest Schuylkill,,30,28,4260000
421010070005007,1270,Southwest Schuylkill,,28,12,4260000
421010070005008,1270,Southwest Schuylkill,,84,40,4260000
421010070005009,1270,Southwest Schuylkill,,8,5,4260000
421010070005010,1270,Southwest Schuylkill,,14,4,4260000
421010070005011,1270,Southwest Schuylkill,,65,27,4260000
421010070005012,1270,Southwest Schuylkill,,19,10,4260000
421010070005013,1270,Southwest Schuylkill,,41,29,4260000
421010074001000,1270,Southwest Schuylkill,,149,93,4260000
421010074001001,1270,Southwest Schuylkill,,109,45,4260000
421010074001002,1270,Southwest Schuylkill,,72,40,4260000
421010074001003,1270,Southwest Schuylkill,,69,44,4260000
421010074001004,1270,Southwest Schuylkill,,137,78,4260000
421010074001005,1270,Southwest Schuylkill,,42,22,4260000
421010074001006,1270,Southwest Schuylkill,,89,39,4260000
421010074002000,1270,Southwest Schuylkill,,104,64,4260000
421010074002001,1270,Southwest Schuylkill,,73,31,4260000
421010074002002,1270,Southwest Schuylkill,,21,12,4260000
421010074002003,1270,Southwest Schuylkill,,70,28,4260000
421010074002004,1270,Southwest Schuylkill,,31,17,4260000
421010074002005,1270,Southwest Schuylkill,,73,49,4260000
421010074002006,1270,Southwest Schuylkill,,25,13,4260000
421010074002007,1270,Southwest Schuylkill,,0,0,4260000
421010074002008,1270,Southwest Schuylkill,,21,12,4260000
421010074002009,1270,Southwest Schuylkill,,0,0,4260000
421010074002010,1270,Southwest Schuylkill,,13,11,4260000
421010074002011,1270,Southwest Schuylkill,,16,15,4260000
421010074002012,1270,Southwest Schuylkill,,12,12,4260000
421010074002013,1270,Southwest Schuylkill,,5,6,4260000
421010074002014,1270,Southwest Schuylkill,,30,14,4260000
421010074002015,1270,Southwest Schuylkill,,91,31,4260000
421010074002016,1270,Southwest Schuylkill,,0,0,4260000
421010074002017,1270,Southwest Schuylkill,,10,4,4260000
421010074002018,1270,Southwest Schuylkill,,25,23,4260000
421010074002019,1270,Southwest Schuylkill,,27,21,4260000
